date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:33	297/297	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2023:00:33%20GMT	http://localhost:8080/robots.txt		(from )
01:00:40	149334/149334	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:00:33%20GMT	http://localhost:8080/blogs/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/index.html	(from )
01:00:41	59016/59016	---M--	200	added ('OK')	text/css	etag:%22e688-5bca85cdbf580%22	http://localhost:8080/blogs/wp-includes/css/dashicons.min.css?ver=6.4.2	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-includes/css/dashicons.min1e39.css	(from http://localhost:8080/blogs/)
01:00:42	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	C:/My%20Web%20Sites/blogs/ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	(from http://localhost:8080/blogs/)
01:00:42	136668/136668	---M--	200	added ('OK')	text/css	etag:%22215dc-60e9787cabb27%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/plugins/buddypress.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/plugins/buddypress.minbf7d.css	(from http://localhost:8080/blogs/)
01:00:44	4142/4142	---M--	200	added ('OK')	text/css	etag:%22102e-60e966b8ce720%22	http://localhost:8080/blogs/wp-content/plugins/taqyeem-buttons/assets/style.css?ver=6.4.2	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/plugins/taqyeem-buttons/assets/style1e39.css	(from http://localhost:8080/blogs/)
01:00:44	1479/1479	---M--	200	added ('OK')	application/rss+xml	etag:%22d31f5f186db055384ac05b1c6641226f%22	http://localhost:8080/blogs/comments/feed/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/comments/feed/index.html	(from http://localhost:8080/blogs/)
01:00:44	66541/66541	---M--	200	added ('OK')	text/css	etag:%22103ed-60e9787caf1cf%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/plugins/woocommerce.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/plugins/woocommerce.minbf7d.css	(from http://localhost:8080/blogs/)
01:00:46	33681/33681	---M--	200	added ('OK')	text/css	etag:%228391-60e9787caab89%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/plugins/bbpress.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/plugins/bbpress.minbf7d.css	(from http://localhost:8080/blogs/)
01:00:47	43576/43576	---M--	200	added ('OK')	text/css	etag:%22aa38-60e9787ca70fa%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/base.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/base.minbf7d.css	(from http://localhost:8080/blogs/)
01:00:48	156556/156556	---M--	200	added ('OK')	text/css	etag:%222638c-60e9787cda4d2%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/style.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/style.minbf7d.css	(from http://localhost:8080/blogs/)
01:00:50	47475/47475	---M--	200	added ('OK')	text/css	etag:%22b973-60e9787cdb087%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/widgets.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/widgets.minbf7d.css	(from http://localhost:8080/blogs/)
01:00:52	39270/39270	---M--	200	added ('OK')	text/css	etag:%229966-60e9787ca8865%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/helpers.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/helpers.minbf7d.css	(from http://localhost:8080/blogs/)
